OGs_OG0007038_Gbi_Lko.aln	0.0466
OGs_OG0004101_Gbi_Lko.aln	0.0553
OGs_OG0004556_Gbi_Lko.aln	0.0912
OGs_OG0008836_Gbi_Lko.aln	0.0961
OGs_OG0004608_Gbi_Lko.aln	0.0323
OGs_OG0000991_Gbi_Lko.aln	0.0361
OGs_OG0003878_Gbi_Lko.aln	0.0634
OGs_OG0004174_Gbi_Lko.aln	0.1127
OGs_OG0007659_Gbi_Lko.aln	0.0809
OGs_OG0004767_Gbi_Lko.aln	0.0064
OGs_OG0002306_Gbi_Lko.aln	0.0573
OGs_OG0005052_Gbi_Lko.aln	0.1593
OGs_OG0004701_Gbi_Lko.aln	0.0038
OGs_OG0004815_Gbi_Lko.aln	0.038
OGs_OG0001439_Gbi_Lko.aln	0.0476
OGs_OG0002266_Gbi_Lko.aln	0.0258
OGs_OG0007755_Gbi_Lko.aln	0.053
OGs_OG0013450_Gbi_Lko.aln	0.2176
OGs_OG0006750_Gbi_Lko.aln	0.0128
OGs_OG0003465_Gbi_Lko.aln	0.0121
OGs_OG0004302_Gbi_Lko.aln	0.0452
OGs_OG0000344_Gbi_Lko.aln	0.1515
OGs_OG0007842_Gbi_Lko.aln	0.0383
OGs_OG0009989_Gbi_Lko.aln	0.295
OGs_OG0008020_Gbi_Lko.aln	0.0638
OGs_OG0006746_Gbi_Lko.aln	0.0981
OGs_OG0003070_Gbi_Lko.aln	0.0306
OGs_OG0000952_Gbi_Lko.aln	0.0811
OGs_OG0003253_Gbi_Lko.aln	0.1224
OGs_OG0005009_Gbi_Lko.aln	0.0229
OGs_OG0001601_Gbi_Lko.aln	0.0455
OGs_OG0001627_Gbi_Lko.aln	0.0598
OGs_OG0002366_Gbi_Lko.aln	0.0218
OGs_OG0005901_Gbi_Lko.aln	0.0358
OGs_OG0006037_Gbi_Lko.aln	0.1664
OGs_OG0008033_Gbi_Lko.aln	0.0475
OGs_OG0006275_Gbi_Lko.aln	0.0803
OGs_OG0007514_Gbi_Lko.aln	0.1607
OGs_OG0010421_Gbi_Lko.aln	0.0197
OGs_OG0004297_Gbi_Lko.aln	0.0214
OGs_OG0003534_Gbi_Lko.aln	0.0455
OGs_OG0003105_Gbi_Lko.aln	0.0869
OGs_OG0005924_Gbi_Lko.aln	0.0061
OGs_OG0001705_Gbi_Lko.aln	0.032
OGs_OG0005759_Gbi_Lko.aln	0.0304
OGs_OG0005869_Gbi_Lko.aln	0.0777
OGs_OG0002879_Gbi_Lko.aln	0.0151
OGs_OG0008004_Gbi_Lko.aln	0.0537
OGs_OG0004304_Gbi_Lko.aln	0.0417
OGs_OG0006074_Gbi_Lko.aln	0.0989
OGs_OG0013338_Gbi_Lko.aln	0.8995
OGs_OG0006344_Gbi_Lko.aln	0.0094
OGs_OG0003467_Gbi_Lko.aln	0.0619
OGs_OG0002302_Gbi_Lko.aln	0.0285
OGs_OG0004155_Gbi_Lko.aln	0.0837
OGs_OG0008238_Gbi_Lko.aln	0.0392
OGs_OG0003539_Gbi_Lko.aln	0.0151
OGs_OG0003891_Gbi_Lko.aln	0.0644
OGs_OG0008628_Gbi_Lko.aln	0.0333
OGs_OG0013586_Gbi_Lko.aln	0.0754
OGs_OG0003975_Gbi_Lko.aln	0.0839
